検索語句レポート
2019/08/01 - 2019/08/31
検索語句	マッチタイプ	追加済み / 除外済み	広告グループ	クリック数	表示回数	クリック率	通貨コード	平均クリック単価	費用	コンバージョン	コンバージョン単価	コンバージョン率	すべてのコンバージョン値 / 費用	すべてのコンバージョン値	コンバージョン値/費用
炭 ダイエット	完全一致	なし	001_炭サプリ	"1,092"	"6,380"	17.12%	JPY	112	122421	222.00	551	20.33%	2.44	"299,000.00"	2.44
チャコール コンブチャ	部分一致	追加済み	001_炭サプリ	26	127	20.47%	JPY	90	2337	12.00	195	46.15%	7.06	"16,500.00"	7.06
チャコール コンブチャ	完全一致	追加済み	001_炭サプリ	87	357	24.37%	JPY	103	8931	24.00	372	27.59%	3.69	"33,000.00"	3.69
炭 食べる	部分一致	なし	001_炭サプリ	93	768	12.11%	JPY	78	7259	10.00	726	10.75%	 --	0.00	0.00
チャコール 口コミ	部分一致	なし	001_炭サプリ	61	170	35.88%	JPY	48	2908	11.00	264	18.03%	 --	0.00	0.00
炭 クレンズ ダイエット	部分一致	追加済み	001_炭サプリ	21	44	47.73%	JPY	130	2736	11.00	249	52.38%	12.06	"33,000.00"	12.06
炭 食べる	部分一致	なし	002_炭ダイエット	99	"1,085"	9.12%	JPY	127	12585	8.00	1567	8.16%	1.52	"19,000.00"	1.52
チャコール ダイエット サプリ 口コミ	部分一致	なし	001_炭サプリ	58	200	29.00%	JPY	112	6485	8.00	811	13.79%	 --	0.00	0.00
チャコール クレンズ ランキング	部分一致	なし	001_炭サプリ	27	83	32.53%	JPY	87	2340	7.00	334	25.93%	7.05	"16,500.00"	7.05
クレンズ 炭	部分一致	追加済み	001_炭サプリ	30	75	40.00%	JPY	106	3170	13.00	244	43.33%	5.21	"16,500.00"	5.21
