検索語句レポート
2019/08/01 - 2019/08/31
検索語句	マッチタイプ	追加済み / 除外済み	広告グループ	クリック数	表示回数	クリック率	通貨コード	平均クリック単価	費用	コンバージョン	コンバージョン単価	コンバージョン率	すべてのコンバージョン値 / 費用	すべてのコンバージョン値	コンバージョン値/費用
クレンズ 炭	部分一致	追加済み	001_炭サプリ	30	75	40.00%	JPY	106	3170	13.00	244	43.33%	5.21	"16,500.00"	5.21
チャコール ダイエット ランキング	部分一致	なし	001_炭サプリ	32	68	47.06%	JPY	84	2679	8.00	335	25.00%	12.32	"33,000.00"	12.32
炭 ダイエット 嘘	フレーズ一致	なし	002_炭ダイエット	67	"1,021"	6.56%	JPY	189	12637	8.00	1580	11.94%	0.67	"8,500.00"	0.67
炭 腸	部分一致	なし	001_炭サプリ	35	185	18.92%	JPY	58	2047	11.00	186	31.43%	16.12	"33,000.00"	16.12
クレンズ 炭	部分一致	なし	002_炭ダイエット	34	158	21.52%	JPY	180	6111	9.00	679	26.47%	 --	0.00	0.00
クレンジル 宿便	部分一致	なし	003_炭宿便	27	134	20.15%	JPY	112	3029	1.00	3029	3.70%	 --	0.00	0.00
竹炭 ダイエット	部分一致	追加済み	002_炭ダイエット	53	319	16.61%	JPY	118	6266	10.00	627	18.87%	2.63	"16,500.00"	2.63
炭 ダイエット サプリ	完全一致	追加済み	001_炭サプリ	231	779	29.65%	JPY	120	27805	49.00	567	21.21%	 --	0.00	0.00
バイク ロ チャコール ダイエット 青 汁	部分一致	なし	001_炭サプリ	26	87	29.89%	JPY	64	1661	0.00	0	0.00%	 --	0.00	0.00
炭 ダイエット 人気	部分一致	なし	001_炭サプリ	32	57	56.14%	JPY	125	4010	11.00	365	34.38%	4.11	"16,500.00"	4.11
炭 サプリ	完全一致	追加済み	001_炭サプリ	"1,073"	"4,325"	24.81%	JPY	88	94400	163.00	579	15.19%	1.05	"99,000.00"	1.05
チャコール ダイエット	完全一致	追加済み	002_炭ダイエット	623	"3,101"	20.09%	JPY	125	77758	125.00	622	20.06%	1.17	"91,000.00"	1.17
炭 ダイエット サプリ	部分一致	追加済み	001_炭サプリ	25	223	11.21%	JPY	68	1710	6.00	285	24.00%	 --	0.00	0.00
炭 サプリ おすすめ	フレーズ一致	追加済み	001_炭サプリ	50	164	30.49%	JPY	77	3843	6.00	641	12.00%	 --	0.00	0.00
炭 デトックス	部分一致	なし	001_炭サプリ	28	166	16.87%	JPY	85	2372	7.00	339	25.00%	 --	0.00	0.00
炭 デトックス	部分一致	なし	002_炭ダイエット	31	263	11.79%	JPY	121	3745	5.00	749	16.13%	 --	0.00	0.00
チャコール 口コミ	部分一致	なし	001_炭サプリ	61	170	35.88%	JPY	48	2908	11.00	264	18.03%	 --	0.00	0.00
炭 食べる	部分一致	なし	002_炭ダイエット	99	"1,085"	9.12%	JPY	127	12585	8.00	1567	8.16%	1.52	"19,000.00"	1.52
ダイエット 炭 宿便	部分一致	なし	003_炭宿便	35	94	37.23%	JPY	162	5677	8.00	710	22.86%	 --	0.00	0.00
宿便 剥がし	部分一致	なし	003_炭宿便	23	210	10.95%	JPY	126	2904	4.00	726	17.39%	 --	0.00	0.00
チャコール クレンズ ランキング	部分一致	なし	001_炭サプリ	27	83	32.53%	JPY	87	2340	7.00	334	25.93%	7.05	"16,500.00"	7.05
炭 クレンズ ダイエット	部分一致	追加済み	001_炭サプリ	21	44	47.73%	JPY	130	2736	11.00	249	52.38%	12.06	"33,000.00"	12.06
チャコール ダイエット サプリ 口コミ	部分一致	なし	001_炭サプリ	58	200	29.00%	JPY	112	6485	8.00	811	13.79%	 --	0.00	0.00
dhc 炭	部分一致	なし	001_炭サプリ	28	73	38.36%	JPY	72	2005	2.00	1003	7.14%	 --	0.00	0.00
ダイエット サプリ 炭	完全一致（類似パターン）	追加済み	001_炭サプリ	22	52	42.31%	JPY	119	2614	9.00	290	40.91%	18.94	"49,500.00"	18.94
炭 便秘	部分一致	追加済み	003_炭宿便	61	292	20.89%	JPY	57	3504	15.00	234	24.59%	9.42	"33,000.00"	9.42
ダイエット 炭	完全一致	なし	001_炭サプリ	153	821	18.64%	JPY	118	18035	42.00	429	27.45%	5.49	"99,000.00"	5.49
食用 炭	部分一致	なし	001_炭サプリ	33	247	13.36%	JPY	61	2012	2.00	1006	6.06%	 --	0.00	0.00
チャコール ダイエット 副作用	部分一致	なし	001_炭サプリ	99	715	13.85%	JPY	83	8233	23.00	358	23.23%	6.01	"49,500.00"	6.01
炭 入り サプリ	部分一致	なし	001_炭サプリ	26	56	46.43%	JPY	55	1417	5.00	283	19.23%	 --	0.00	0.00
宿便 炭	完全一致	なし	001_炭サプリ	63	312	20.19%	JPY	81	5080	15.00	339	23.81%	 --	0.00	0.00
炭 ダイエット ランキング	完全一致	追加済み	002_炭ダイエット	70	240	29.17%	JPY	124	8658	13.00	666	18.57%	1.91	"16,500.00"	1.91
チャコール ダイエット おすすめ	部分一致	なし	001_炭サプリ	28	46	60.87%	JPY	63	1775	5.00	355	17.86%	 --	0.00	0.00
活性炭 サプリ	部分一致	なし	001_炭サプリ	63	297	21.21%	JPY	83	5256	6.00	876	9.52%	 --	0.00	0.00
ダイエット サプリ	部分一致	なし	002_炭ダイエット	21	135	15.56%	JPY	229	4808	5.00	962	23.81%	 --	0.00	0.00
クレンジル	部分一致	なし	001_炭サプリ	50	463	10.80%	JPY	80	3987	3.00	1329	6.00%	 --	0.00	0.00
コンブチャ チャコール 口コミ	部分一致	なし	001_炭サプリ	50	160	31.25%	JPY	60	3000	5.00	600	10.00%	 --	0.00	0.00
炭 宿便 ダイエット	部分一致	追加済み	003_炭宿便	22	63	34.92%	JPY	127	2784	13.00	214	59.09%	17.78	"49,500.00"	17.78
チャコール ダイエット 副作用	フレーズ一致	なし	001_炭サプリ	30	173	17.34%	JPY	71	2131	3.00	710	10.00%	 --	0.00	0.00
炭 サプリメント	部分一致	なし	001_炭サプリ	24	53	45.28%	JPY	127	3041	7.00	434	29.17%	5.43	"16,500.00"	5.43
炭 サプリメント	部分一致	なし	002_炭ダイエット	41	154	26.62%	JPY	132	5404	4.00	1351	9.76%	 --	0.00	0.00
チャコール クレンズ	部分一致	追加済み	001_炭サプリ	124	796	15.58%	JPY	69	8587	38.00	226	30.65%	12.40	"106,500.00"	12.40
炭 クレンズ	部分一致	追加済み	001_炭サプリ	66	219	30.14%	JPY	109	7174	18.00	399	27.27%	6.90	"49,500.00"	6.90
炭 ダイエット ランキング	部分一致	なし	001_炭サプリ	215	574	37.46%	JPY	96	20590	51.00	404	23.72%	4.01	"82,500.00"	4.01
炭 ダイエット ランキング	完全一致	なし	001_炭サプリ	37	97	38.14%	JPY	99	3649	14.00	261	37.84%	9.04	"33,000.00"	9.04
チャコール クレンズ おすすめ	部分一致	追加済み	001_炭サプリ	33	161	20.50%	JPY	87	2870	6.00	478	18.18%	 --	0.00	0.00
便秘 炭	部分一致	追加済み	003_炭宿便	50	189	26.46%	JPY	67	3350	20.00	168	40.00%	4.93	"16,500.00"	4.93
炭 ダイエット	完全一致	なし	001_炭サプリ	"1,092"	"6,380"	17.12%	JPY	112	122421	222.00	551	20.33%	2.44	"299,000.00"	2.44
チャコール コンブチャ	部分一致	追加済み	001_炭サプリ	26	127	20.47%	JPY	90	2337	12.00	195	46.15%	7.06	"16,500.00"	7.06
チャコール コンブチャ	完全一致	追加済み	001_炭サプリ	87	357	24.37%	JPY	103	8931	24.00	372	27.59%	3.69	"33,000.00"	3.69
炭 食べる	部分一致	なし	001_炭サプリ	93	768	12.11%	JPY	78	7259	10.00	726	10.75%	 --	0.00	0.00
炭 ダイエット デメリット	部分一致	なし	001_炭サプリ	58	450	12.89%	JPY	104	6047	6.00	1008	10.34%	 --	0.00	0.00
チャコール ダイエット 口コミ	部分一致	なし	001_炭サプリ	63	265	23.77%	JPY	68	4301	6.00	717	9.52%	3.84	"16,500.00"	3.84
チャコール ダイエット サプリ	部分一致	なし	001_炭サプリ	21	53	39.62%	JPY	105	2205	2.00	1103	9.52%	 --	0.00	0.00
活性炭 サプリ	部分一致	なし	002_炭ダイエット	26	156	16.67%	JPY	113	2933	1.00	2933	3.85%	 --	0.00	0.00
炭 ダイエット サプリ 口コミ	完全一致	追加済み	001_炭サプリ	162	781	20.74%	JPY	84	13638	28.00	487	17.28%	1.39	"19,000.00"	1.39
コンブチャ 炭	部分一致	追加済み	002_炭ダイエット	79	294	26.87%	JPY	209	16476	28.00	588	35.44%	1.00	"16,500.00"	1.00
宿便 剥がし 炭	部分一致	なし	001_炭サプリ	53	168	31.55%	JPY	89	4710	23.00	205	43.40%	7.01	"33,000.00"	7.01
炭 宿便	完全一致（類似パターン）	なし	001_炭サプリ	39	260	15.00%	JPY	71	2770	10.00	277	25.64%	 --	0.00	0.00
炭 ダイエット おすすめ	フレーズ一致	なし	002_炭ダイエット	26	97	26.80%	JPY	163	4238	3.00	1413	11.54%	 --	0.00	0.00
黒炭 ダイエット	部分一致	追加済み	002_炭ダイエット	31	105	29.52%	JPY	122	3777	8.00	472	25.81%	 --	0.00	0.00
宿便 炭	部分一致	なし	001_炭サプリ	33	110	30.00%	JPY	73	2418	11.00	220	33.33%	 --	0.00	0.00
炭 ダイエット 口コミ	部分一致	なし	001_炭サプリ	64	233	27.47%	JPY	88	5662	11.00	515	17.19%	 --	0.00	0.00
宿便 を 出す 炭	部分一致	なし	001_炭サプリ	37	83	44.58%	JPY	90	3315	13.00	255	35.14%	9.95	"33,000.00"	9.95
コンブチャ チャコール	部分一致	なし	002_炭ダイエット	69	231	29.87%	JPY	149	10288	19.00	541	27.54%	 --	0.00	0.00
サプリ 炭	部分一致	なし	002_炭ダイエット	29	85	34.12%	JPY	159	4610	8.00	576	27.59%	 --	0.00	0.00
炭 ダイエット	完全一致	追加済み	002_炭ダイエット	"1,943"	"8,616"	22.55%	JPY	149	289953	501.00	578	25.80%	2.86	"830,000.00"	2.86
チャコール クレンズ 倖田 來未	部分一致	なし	001_炭サプリ	23	191	12.04%	JPY	112	2576	6.00	429	26.09%	 --	0.00	0.00
宿便 サプリ 炭	完全一致	追加済み	003_炭宿便	116	251	46.22%	JPY	107	12398	50.00	248	43.10%	3.47	"43,000.00"	3.47
食べる 炭	部分一致	なし	002_炭ダイエット	264	"1,785"	14.79%	JPY	103	27138	24.00	1131	9.09%	0.61	"16,500.00"	0.61
チャコール ダイエット	完全一致（類似パターン）	なし	001_炭サプリ	66	337	19.58%	JPY	79	5231	10.00	523	15.15%	3.15	"16,500.00"	3.15
チャコール ダイエット 嘘	部分一致	なし	002_炭ダイエット	74	938	7.89%	JPY	153	11355	14.00	811	18.92%	2.91	"33,000.00"	2.91
チャコール ダイエット	部分一致	なし	001_炭サプリ	133	"1,188"	11.20%	JPY	89	11826	22.00	538	16.54%	 --	0.00	0.00
食べる 炭 おすすめ	部分一致	なし	002_炭ダイエット	21	215	9.77%	JPY	92	1925	2.00	963	9.52%	 --	0.00	0.00
炭 ダイエット	部分一致	なし	001_炭サプリ	194	"1,323"	14.66%	JPY	89	17290	35.00	494	18.04%	2.86	"49,500.00"	2.86
宿便 サプリ 炭	完全一致	なし	001_炭サプリ	68	214	31.78%	JPY	96	6558	21.00	312	30.88%	5.03	"33,000.00"	5.03
チャコール サプリ	完全一致	追加済み	001_炭サプリ	306	"1,227"	24.94%	JPY	75	23035	63.00	366	20.59%	2.26	"52,000.00"	2.26
炭 を 食べる	部分一致	なし	001_炭サプリ	69	449	15.37%	JPY	74	5113	8.00	639	11.59%	3.23	"16,500.00"	3.23
活性炭 ダイエット	部分一致	なし	001_炭サプリ	30	146	20.55%	JPY	140	4206	3.00	1402	10.00%	 --	0.00	0.00
活性炭 ダイエット	部分一致	追加済み	002_炭ダイエット	125	574	21.78%	JPY	130	16242	16.00	1015	12.80%	1.17	"19,000.00"	1.17
竹炭 ダイエット	部分一致	なし	001_炭サプリ	26	140	18.57%	JPY	101	2620	5.00	524	19.23%	 --	0.00	0.00
チャコール ダイエット 嘘	部分一致	なし	001_炭サプリ	94	856	10.98%	JPY	98	9171	17.00	539	18.09%	 --	0.00	0.00
食べる 炭 おすすめ	部分一致	なし	001_炭サプリ	24	137	17.52%	JPY	60	1443	4.00	361	16.67%	 --	0.00	0.00
ダイエット 炭 コンブチャ	部分一致	なし	001_炭サプリ	22	57	38.60%	JPY	125	2757	6.00	460	27.27%	 --	0.00	0.00
ダイエット サプリ 炭	部分一致	追加済み	001_炭サプリ	39	110	35.45%	JPY	118	4591	11.00	417	28.21%	3.59	"16,500.00"	3.59
ダイエット サプリ 炭	部分一致	なし	002_炭ダイエット	106	263	40.30%	JPY	169	17913	30.00	597	28.30%	1.84	"33,000.00"	1.84
食べる 炭 口コミ	部分一致	なし	001_炭サプリ	26	112	23.21%	JPY	59	1546	6.00	258	23.08%	 --	0.00	0.00
チャコール クレンズ プロラボ	部分一致	なし	001_炭サプリ	22	227	9.69%	JPY	99	2173	7.00	310	31.82%	 --	0.00	0.00
炭 サプリ 口コミ	フレーズ一致	なし	001_炭サプリ	74	221	33.48%	JPY	44	3269	6.00	545	8.11%	 --	0.00	0.00
ダイエット 炭	完全一致	追加済み	002_炭ダイエット	384	"1,371"	28.01%	JPY	143	54853	113.00	485	29.43%	3.25	"178,000.00"	3.25
チャコール クレンズ 口コミ	部分一致	なし	001_炭サプリ	42	161	26.09%	JPY	74	3095	9.00	344	21.43%	5.33	"16,500.00"	5.33
チャコール クレンズ おすすめ	部分一致	なし	002_炭ダイエット	32	195	16.41%	JPY	189	6034	9.00	670	28.13%	3.15	"19,000.00"	3.15
炭 便秘 薬	部分一致	なし	003_炭宿便	21	81	25.93%	JPY	69	1457	5.00	291	23.81%	 --	0.00	0.00
炭 ダイエット 嘘	部分一致	なし	001_炭サプリ	101	"1,106"	9.13%	JPY	116	11763	18.00	654	17.82%	1.40	"16,500.00"	1.40
コンブチャ チャコール	部分一致	なし	001_炭サプリ	23	107	21.50%	JPY	93	2149	6.00	358	26.09%	 --	0.00	0.00
宿便 剥がし 炭	完全一致	追加済み	003_炭宿便	284	"1,114"	25.49%	JPY	92	26264	76.00	346	26.76%	1.88	"49,500.00"	1.88
炭 宿便	部分一致	追加済み	003_炭宿便	22	58	37.93%	JPY	116	2562	8.00	320	36.36%	6.44	"16,500.00"	6.44
炭 宿便	完全一致（類似パターン）	追加済み	003_炭宿便	309	"1,573"	19.64%	JPY	63	19420	85.00	228	27.51%	8.08	"157,000.00"	8.08
炭 食品	部分一致	なし	002_炭ダイエット	34	263	12.93%	JPY	102	3467	4.00	867	11.76%	 --	0.00	0.00
炭 サプリ ランキング	フレーズ一致	追加済み	001_炭サプリ	31	81	38.27%	JPY	59	1829	8.00	229	25.81%	 --	0.00	0.00
食べる 炭	部分一致	なし	001_炭サプリ	370	"2,154"	17.18%	JPY	68	25304	35.00	723	9.46%	1.30	"33,000.00"	1.30
炭 宿便 サプリ	部分一致	なし	001_炭サプリ	30	81	37.04%	JPY	89	2672	6.00	445	20.00%	 --	0.00	0.00
チャコール ダイエット	完全一致	なし	001_炭サプリ	377	"2,318"	16.26%	JPY	113	42766	82.00	522	21.75%	2.37	"101,501.00"	2.37
コンブチャ 炭	部分一致	なし	001_炭サプリ	24	108	22.22%	JPY	118	2834	6.00	472	25.00%	 --	0.00	0.00
ダイエット 炭	部分一致	なし	001_炭サプリ	38	204	18.63%	JPY	103	3904	8.00	488	21.05%	 --	0.00	0.00
チャコール ダイエット 副作用	部分一致	なし	002_炭ダイエット	95	724	13.12%	JPY	119	11321	21.00	539	22.11%	2.96	"33,500.00"	2.96
炭 クレンズ	完全一致	追加済み	001_炭サプリ	65	433	15.01%	JPY	111	7196	24.00	300	36.92%	6.88	"49,500.00"	6.88
宿便 炭	完全一致	追加済み	003_炭宿便	455	"1,744"	26.09%	JPY	80	36457	133.00	274	29.23%	6.17	"225,000.00"	6.17
ダイエット 炭 サプリ	部分一致	なし	002_炭ダイエット	21	43	48.84%	JPY	161	3380	3.00	1127	14.29%	 --	0.00	0.00
宿便 ダイエット 炭	部分一致	追加済み	003_炭宿便	68	151	45.03%	JPY	239	16246	29.00	560	42.65%	4.06	"66,000.00"	4.06
宿便 出し 方 炭	部分一致	追加済み	003_炭宿便	25	201	12.44%	JPY	95	2385	3.00	795	12.00%	 --	0.00	0.00
炭 を 食べる	部分一致	なし	002_炭ダイエット	64	595	10.76%	JPY	123	7854	9.00	873	14.06%	 --	0.00	0.00
炭 ダイエット おすすめ	部分一致	なし	001_炭サプリ	45	199	22.61%	JPY	90	4030	10.00	403	22.22%	 --	0.00	0.00
炭 サプリ ランキング	完全一致	追加済み	001_炭サプリ	222	683	32.50%	JPY	89	19800	33.00	600	14.86%	0.83	"16,500.00"	0.83
炭 サプリ ダイエット	部分一致	なし	002_炭ダイエット	45	153	29.41%	JPY	157	7080	6.00	1180	13.33%	 --	0.00	0.00
炭 サプリメント	完全一致（類似パターン）	なし	001_炭サプリ	21	89	23.60%	JPY	84	1764	8.00	221	38.10%	 --	0.00	0.00
チャコール クレンズ	完全一致	追加済み	001_炭サプリ	"1,920"	"9,001"	21.33%	JPY	94	179741	387.00	464	20.16%	3.60	"646,500.00"	3.60
炭 食品	部分一致	なし	001_炭サプリ	36	136	26.47%	JPY	54	1936	3.00	645	8.33%	 --	0.00	0.00
合計: フィルタした検索語句				"15,287"	"75,106"	20.35%	JPY	107	1637070	"3,272.00"	500	21.41%	2.59	"4,233,501.00"	2.59
合計: アカウント				"21,986"	"129,536"	16.97%	JPY	110	2412021	"4,492.00"	537	20.43%	2.29	"5,526,001.00"	2.29
